main called:0
smart phone:12
interval setted:15
map drawing start:116
map drawing end:519
keyDown 32:2419
keyUp 32:2531
keyDown 39:3114
keyDown 68:3679
keyUp 68:4386
keyUp 39:4428
keyDown 40:5206
keyDown undefined:6926
keyUp undefined:7202
keyDown 39:7317
keyDown 68:7742
keyUp 39:12300
keyUp 68:12328
keyDown 39:12444
keyUp 39:12867
keyDown 37:13099
keyDown 68:13113
keyDown 68:13129
keyUp 68:13143
keyUp 68:14042
keyDown 38:15921
keyDown 68:16443
keyUp 38:17103
keyDown 68:18578
keyUp 68:18764
keyDown 68:19722
keyDown 37:19959
keyUp 68:22298
keyUp 37:22314
keyDown 40:22609
keyDown 68:22813
keyUp 68:23232
keyUp 40:23264
keyDown 38:23700
keyDown 68:24062
keyDown 68:24077
keyUp 68:24093
keyUp 68:24925
keyUp 38:25076
keyDown 38:25873
keyUp 38:26059
keyDown 39:26637
keyDown undefined:27095
keyUp undefined:27796
keyDown 68:28060
keyDown 38:29252
keyDown 68:29504
keyUp 38:29759
keyDown 37:30995
keyDown 68:31569
keyUp 68:31604
keyUp 37:31947
keyDown 37:32841
keyDown undefined:33561
keyUp undefined:34228
keyDown 68:34382
keyUp 68:35515
keyUp 37:35538
keyDown 37:36167
keyDown 68:36193
keyDown 77:45762
map close.:45762
keyUp 77:45866
keyDown 38:46369
keyUp 38:46477
keyDown undefined:46876
keyUp undefined:46982
keyDown undefined:47099
keyUp undefined:47232
keyDown 38:47473
keyUp 38:47570
keyDown 38:47687
keyUp 38:47831
keyDown 40:48980
keyUp 40:49136
keyDown 32:49660
